ID,holidayDate,name
550e8400-e29b-41d4-a716-446655440001,2026-01-26,Republic Day
550e8400-e29b-41d4-a716-446655440002,2026-03-08,Holi
550e8400-e29b-41d4-a716-446655440003,2026-04-14,Ambedkar Jayanti
550e8400-e29b-41d4-a716-446655440004,2026-05-01,Labour Day
550e8400-e29b-41d4-a716-446655440005,2026-08-15,Independence Day
550e8400-e29b-41d4-a716-446655440006,2026-08-28,Ganesh Chaturthi
550e8400-e29b-41d4-a716-446655440007,2026-10-02,Gandhi Jayanti
550e8400-e29b-41d4-a716-446655440008,2026-10-24,Dussehra
550e8400-e29b-41d4-a716-446655440009,2026-11-12,Diwali
550e8400-e29b-41d4-a716-446655440010,2026-12-25,Christmas
